Index,Periodos (s),Gravidade (m/s²),Média (g),Desvio P (g), Nº Dados
427,"3,01","9,455543118",,,
428,"2,98","9,646881469",,,
429,"2,84","10,62142509",,,
430,"3,01","9,455543118",,,
431,"3,06","9,149062989",,,
432,"2,96","9,777685149",,,
433,"2,93","9,978935829",,,
434,"3,02","9,393027302",,,
435,"2,89","10,257081",,,
436,"3,04","9,269841391",,,
437,"3,01","9,455543118",,,
438,"2,86","10,4733931",,,
439,"2,99","9,58246174",,,
440,"2,98","9,646881469",,,
441,"3,01","9,455543118",,,
442,"2,92","10,04740174",,,
443,"2,94","9,911167361",,,
444,"2,97","9,711952998",,,
445,"2,9","10,18646447",,,
446,"2,91","10,1165747",,,
447,"2,93","9,978935829",,,
448,"2,99","9,58246174",,,
449,"3,03","9,331129432",,,
450,"3,03","9,331129432",,,
451,"2,85","10,54701954",,,
452,"3,02","9,393027302",,,
453,"2,86","10,4733931",,,
454,"3,01","9,455543118",,,
455,3,"9,518685133",,,
456,"3,02","9,393027302",,,
457,"2,94","9,911167361",,,
458,"2,9","10,18646447",,,
459,"3,02","9,393027302",,,
460,"3,01","9,455543118",,,
461,"2,8","10,92706202",,,
462,"3,06","9,149062989",,,
463,"2,92","10,04740174",,,
464,"3,1","8,914481395",,,
465,"2,93","9,978935829",,,
466,"2,9","10,18646447",,,
467,"3,02","9,393027302",,,
468,3,"9,518685133",,,
469,"2,97","9,711952998",,,
470,"2,91","10,1165747",,,
471,"3,01","9,455543118",,,
472,"2,87","10,40053493",,,
473,"2,92","10,04740174",,,
474,"3,09","8,972273667",,,
475,"2,93","9,978935829",,,
476,"2,92","10,04740174",,,
477,"2,98","9,646881469",,,
478,"3,07","9,089557046",,,
479,"2,91","10,1165747",,,
480,"2,99","9,58246174",,,
481,"2,91","10,1165747",,,
482,"3,02","9,393027302",,,
483,"3,03","9,331129432",,,
484,"2,73","11,4946083",,,
485,"3,17","8,525128741",,,
486,"2,91","10,1165747",,,
487,"3,02","9,393027302",,,
488,"2,9","10,18646447",,,
489,"2,93","9,978935829",,,
